"Date","Circulating Marketcap"
"2020-07-18","2654716170.7357664"
"2020-07-17","2667610164.102834"
"2020-07-16","2739703398.3389554"
"2020-07-15","2812772578.7192416"
"2020-07-14","2862171039.62323"
"2020-07-13","2849728101.3834"
"2020-07-12","2742734396.606205"
"2020-07-11","2693755885.946636"
"2020-07-10","2619347121.8744764"
"2020-07-09","2687814129.0410547"
"2020-07-08","2613965552.1466694"
"2020-07-07","2539261269.843306"
"2020-07-06","2413516577.6469836"
"2020-07-05","2419746859.1218038"
"2020-07-04","2376709849.8262067"
"2020-07-03","2391905787.29156"
"2020-07-02","2459284290.9600773"
"2020-07-01","2395780307.419155"
"2020-06-30","2406728435.8084016"
"2020-06-29","2392963437.3597097"
"2020-06-28","2350569673.8534794"
"2020-06-27","2452596212.845392"
"2020-06-26","2471727356.125853"
"2020-06-25","2488958559.7810163"
"2020-06-24","2548942359.9449134"
"2020-06-23","2569024043.8367133"
"2020-06-22","2484182097.195514"
"2020-06-21","2498432882.2131414"
"2020-06-20","2480110657.297412"
"2020-06-19","2509864829.966765"
"2020-06-18","2548904544.726431"
"2020-06-17","2555888143.6061535"
"2020-06-16","2550843107.0697446"
"2020-06-15","2576963368.233772"
"2020-06-14","2615723117.719278"
"2020-06-13","2587786867.9725122"
"2020-06-12","2523485282.4357967"
"2020-06-11","2712855795.1135516"
"2020-06-10","2704857202.846907"
"2020-06-09","2726408004.821255"
"2020-06-08","2710849035.0512695"
"2020-06-07","2729173176.299558"
"2020-06-06","2742221636.0092754"
"2020-06-05","2725935640.9538302"
"2020-06-04","2731819879.1337495"
"2020-06-03","2686964494.8746004"
"2020-06-02","2794031510.40033"
"2020-06-01","2655742713.3208356"
"2020-05-31","2760652226.3173647"
"2020-05-30","2643718587.6127877"
"2020-05-29","2654948445.5630455"
"2020-05-28","2559621024.5167165"
"2020-05-27","2523054344.363355"
"2020-05-26","2547184913.642426"
"2020-05-25","2480381827.2195926"
"2020-05-24","2563355265.6951756"
"2020-05-23","2580445392.5363307"
"2020-05-22","2500192814.9236913"
"2020-05-21","2625537581.1039977"
"2020-05-20","2678204744.847849"
"2020-05-19","2586721831.715418"
"2020-05-18","2534797366.022704"
